name,category,subtype,lat,lon,addr_city,addr_province,addr_street,osm_type,osm_id
Trung tâm Công tác Xã hội Thành phố Đồng Nai,social_facility,group_home,10.96128,106.87256,,,,way,1178524941
Trung tâm Công tác xã hội - Giáo dục dạy nghề thiếu niên Thành phố Hồ Chí Minh,social_facility,,10.82301,106.68687,,,,way,1044435590
Trung tâm Công tác xã hội tỉnh Tiền Giang,social_facility,,10.35201,106.39733,,,,way,1039473324
Trung tâm Công tác xã hội và Quỹ Bảo trợ trẻ em Hà Nội (cơ sở 2),social_facility,,21.09729,105.8958,,,,way,1066700480
Trung tâm Giáo dục Lao động & Dạy nghề,social_facility,group_home,10.60761,107.08746,,,,way,744898281
Trung tâm Hỗ trợ phát triển - Giáo dục hướng nghiệp Trẻ khuyết tật Hồng Lĩnh,social_facility,,18.5155,105.70632,,,,way,1546648056
Trung tâm Nghiên cứu & Ứng dụng khoa học về Giới - Gia đình và Vị thành niên CSAGA,social_facility,,21.03158,105.78543,,,"Số 35, ngõ 66 Dịch Vọng Hậu",way,1507597289
Trung tâm Nuôi dưỡng người già neo đơn,social_facility,group_home,10.43779,107.22088,,,,way,835039971
Trung tâm Nuôi dưỡng trẻ khuyết tật Hà Nội,social_facility,,20.92725,105.71918,,,,way,1066700475
Trung tâm Nuôi dưỡng và Bảo trợ xã hội Hải Phòng,social_facility,,20.78234,106.61128,,,,way,1190767880
Trung tâm Nuôi dưỡng và Điều dưỡng Người có công số 1 Hà Nội,social_facility,,20.98239,105.77863,,,Đường Thanh Bình,way,1529532394
Trung tâm Nuôi dưỡng và Điều dưỡng Người có công số 2 Hà Nội,social_facility,,20.8059,105.72523,,,,way,1529532392
Trung tâm Nuôi dưỡng và Điều dưỡng Người có công số 3 Hà Nội,social_facility,,21.08085,105.45806,,,,way,1529532391
Trung tâm Nuôi dưỡng và Điều dưỡng Người có công số 4 Hà Nội,social_facility,,20.93315,105.72689,,,,way,1066700491
Trung tâm Nuôi dạy trẻ mồ côi Hoa Mai,social_facility,,15.98368,108.2367,,,,way,1288824253
Trung tâm Phục hồi chức năng Việt-Hàn,social_facility,,20.93156,105.56529,,,,way,1066700479
Trung tâm Phục hồi chức năng người khuyết tật Thuỵ An,social_facility,,21.15937,105.41612,,,,way,1090886426
Trung tâm Xã hội,social_facility,assisted_living,10.60803,107.08289,,,,way,744898279
Trung tâm bảo trợ xã hội Chánh Phú Hòa,social_facility,,11.18104,106.66437,,,,node,2321477214
Trung tâm chăm sóc người cao tuổi Nhân Ái,social_facility,nursing_home,21.05852,105.7505,,,đường Văn Tiến Dũng,node,9593474596
Trung tâm dạy nghề - phục hồi chức năng cho người tàn tật,social_facility,,21.19318,106.08492,Thành phố Bắc Ninh,Bac Ninh,Đường Hoàng Quốc Việt,way,1410516612
Trung tâm dịch vụ hậu cần nghề cá đảo Đá Tây A,social_facility,,8.86684,112.25618,,,,way,1190320960
Trung tâm Điều dưỡng Người có công Hà Nội,social_facility,,21.15262,105.28417,,,,way,1066700488
Trung tâm Điều dưỡng Người có công tỉnh Đắk Lắk,social_facility,nursing_home,12.72646,108.08866,,,,way,1391305424
Trung tâm Điều dưỡng Người tâm thần Hải Phòng,social_facility,,20.72888,106.46789,,,,way,1190767868
Trung tâm Điều dưỡng Thương binh & Người có công Long Đất,social_facility,,10.39162,107.23372,,,,way,691444050
Trung tâm Điều dưỡng Tâm thần kinh Hưng Yên,social_facility,,20.71944,106.02865,,,,way,1066840334
Trung tâm Điều dưỡng thương binh Thuận Thành,social_facility,,21.01613,106.09385,Bắc Ninh,Bac Ninh,,way,1539697447
Trường dạy nghề cho người khuyết tật,social_facility,,20.46895,106.34216,,,,way,920010972
Trại trẻ mồ côi An Thạnh,social_facility,assisted_living,10.02023,105.77114,,,,node,5177658051
Trại trẻ mồ côi An Thạnh,social_facility,assisted_living,10.02023,105.77114,Cần Thơ,,,way,166561658
"Viện Nghiên cứu Xã hội, Kinh tế và Môi trường (iSEE)",social_facility,,21.02761,105.82371,,,C11 Phố Giảng Võ,node,9805222061
Hội Phụ nữ Từ thiện Thành phố Hồ Chí Minh,charity,,10.78188,106.69275,,,,node,10727278253
Trung tâm nuôi dạy trẻ khuyết tật Đồng Hới,charity,,17.45184,106.62035,,,,way,941174078
AgoHub,community_centre,,21.01584,105.85569,Hà Nội,Hà Nội,Phố Hoà Mã,way,940307978
Atm vcb cty himaru,community_centre,,10.89692,106.74669,,,,node,4840944626
BCHQS huyện Long Thành,community_centre,,10.78102,106.95151,,,,node,4513209989
Ban Chỉ Huy Quân Sự Phường Yên Hoà,community_centre,,21.00968,105.80853,,,,way,1171597390
Ban Điều hành Khu phố 2,community_centre,,10.96341,106.83666,,,,way,1051538610
Ban điều hành Khu phố Tân An,community_centre,,10.90961,106.79306,,,Đường Tân An,way,1344367097
Ban điều hành Khu phố Đông An,community_centre,,10.91658,106.78177,,,,way,1361176530
Bản Khe Nóng,community_centre,,19.00334,104.75381,,,,node,6263149785
Bản Đoòng,community_centre,,17.44973,106.31924,,,,node,4409014092
Bảo hiểm MIC,community_centre,,10.0239,105.76658,,,3 Tháng 2,node,5177675586
CLB Dưỡng sinh Liên Hoa,community_centre,,21.17324,106.05954,Bắc Ninh,Bac Ninh,Phố Nguyên Hồng,node,13898848661
Christian community events pagoda,community_centre,,11.63286,107.74256,,,,node,13584878604
Chợ Cam Đức,community_centre,,12.05556,109.16052,,,Trường Chinh (QL1a),node,6415420087
Cty TNHH Giải pháp Phần mềm Miễn phí,community_centre,,10.85135,106.7491,,,"Linh Đông, Q. Thủ Đức",node,4365333789
Cty lee vina,community_centre,,10.95961,106.70608,,,,node,4822284623
Cung Thanh niên Hà Nội (cơ sở 2),community_centre,,21.01808,105.84441,,,,way,865855240
Cung Thiếu nhi Hà Nội,community_centre,,21.02524,105.78078,,,,way,932758885
Cung Thiếu nhi Đà Nẵng,community_centre,,16.03887,108.22523,,,Đường Phan Đăng Lưu,way,667422707
Cung Văn Hóa Lao Động,community_centre,,10.77623,106.69298,,,Nguyễn Thị Minh Khai,way,469844102
Cung Văn Hóa Thiếu Nhi,community_centre,,21.3878,103.01415,,,,way,962983645
Cung Văn Hóa Thiếu Nhi TP,community_centre,,20.8458,106.69272,,,,way,240473052
Cung Văn hóa Lao động Hữu nghị Việt Xô,community_centre,,21.02222,105.84423,Hà Nội,Hà Nội,Phố Trần Hưng Đạo,way,228075195
Cung thiếu nhi tỉnh Quảng Trị,community_centre,,17.46709,106.624,,,,node,10756203754
Cung văn hóa thiếu nhi Cẩm Phả,community_centre,,21.00819,107.27378,,,,way,625066636
Cung văn hóa thiếu nhi Hải Phòng,community_centre,,20.84554,106.69222,,,,way,801476083
Cung văn hóa thiếu nhi tỉnh Quảng Ninh,community_centre,,20.95424,107.09356,,,,node,6314160916
Cyber Cafe,community_centre,,11.95656,108.44236,,,,node,4908284722
Công Ty CP Tập Đoàn Intimex,community_centre,,10.79151,106.69722,,,Nguyễn Văn Giai,node,4443443091
Công sở xã Thạch Cẩm,community_centre,,20.24246,105.55864,,,,node,11052276899
Cơ quan hành chính,community_centre,,20.89911,106.67306,,,,way,241425401
Cổng làng Thượng Kỳ,community_centre,,20.24581,106.16827,,,,node,8789675719
EcoXuan,community_centre,,10.91036,106.71113,,,,node,4216600590
Gươl,community_centre,,15.94278,107.56819,,,,way,624164453
H[,community_centre,,10.73605,106.71253,,,,node,4822367621
Hai thang 2,community_centre,,10.94156,108.08825,,,Trường Chinh,node,4733470622
Hanoi Creative City,community_centre,,21.01257,105.86323,,,Phố Lương Yên,node,4280807465
Hiệp hội chữ thập đỏ Việt nam Thành phố cần thơ,community_centre,,10.04445,105.7788,,,Hùng Vương,node,5257253721
Hup Thủ Dầu Một,community_centre,,10.98181,106.67145,,,,node,4936324121
Hội Trường Cao Hy,community_centre,,16.85478,107.17206,,Quảng Trị,,way,833213413
Hội quán Hải Nam,community_centre,,15.87787,108.332,Hội An,,Trần Phú,node,2092582385
Hội trường B6,community_centre,,21.00624,105.84614,,,,way,825567108
Hội trường Trung tâm phường Yên Phong,community_centre,,21.19906,105.94733,Thành phố Bắc Ninh,Bac Ninh,Đường Nguyễn Bỉnh Khiêm,way,1435144875
Hội trường thôn Bình Chính,community_centre,,20.18501,105.61733,,,,node,11097879517
Hội trường thôn Bình Sậy,community_centre,,20.18598,105.61007,,,,node,11051475335
Hội trường thôn Liên Sơn,community_centre,,20.18425,105.60153,,,,node,11051475334
Hội trường thôn Nam Sơn,community_centre,,18.93246,104.95392,,,,node,5866785885
Hội trường thôn Tân Hoà - Thái Hoà,community_centre,,18.91878,104.97327,,,,node,5866658885
Hội trường thôn Xuân Thắng,community_centre,,20.20817,105.57887,,,,node,11058014274
Hội trường thôn Đồng Hương,community_centre,,20.19156,105.60136,,,,node,11051475336
Hội trường tổ dân phố 6,community_centre,,12.64912,108.0294,,,Y Wang,node,4314406192
Hội trường Đa Năng Phường Đình Bảng,community_centre,,21.11109,105.95094,Bắc Ninh,Bac Ninh,Phố Nguyễn Văn Trỗi,way,577155241
"Hội trưởng Tổ dân phố Sào Nam, Lâm Văn Thạnh",community_centre,,11.94067,108.48486,,,,way,1355610497
Ibi,community_centre,,10.73605,106.71277,,,,node,4822351021
Khu Trung tâm Văn hóa TDTT Long Châu,community_centre,,20.94204,105.69961,Hà Nội,Hà Nội,Đường Long Châu,node,7848823560
Khu Văn hóa - Thể thao Long Châu,community_centre,,21.19128,105.99029,Thành phố Bắc Ninh,Bac Ninh,,way,1549020131
Khu tái định cư thủy điện Lai Châu,community_centre,,22.00767,103.1564,,,,node,4411033491
Khu văn hóa thể thao Phong Xá,community_centre,,21.19458,106.01812,Bắc Ninh,Bac Ninh,,way,1475181234
Không Gian Sách Và Văn Hóa Huế,community_centre,,16.46632,107.58887,,,Lê Lợi,way,118541430
Không gian Văn hóa Việt,community_centre,,21.02865,105.8511,,,Phố Lê Thái Tổ,way,701882953
Khởi nghiệp,community_centre,,21.02924,105.92219,,,,way,1231318502
Licogi 17,community_centre,,21.10636,106.39645,,,,node,7555065696
Làng Truyền thống Dân tộc Cơ Ho,community_centre,,11.56507,108.08143,,,,node,14100333538
Làng du lịch cộng đồng Kon BBRing,community_centre,,14.60188,108.30168,,,,node,5515397321
Làng Đắk Sao (Thôn Đắk Da),community_centre,,14.94022,108.23264,,,,node,5798207954
Lùng Noong,community_centre,,22.33819,105.62097,,,,node,5716662421
Lặng Art,community_centre,,11.94426,108.42192,,,Nguyễn Khuyến,node,13788687601
Mekong Restop,community_centre,,10.41457,106.33921,,,,node,10675402805
Ms sctv d nguyen trai,community_centre,,10.9055,106.75673,,,,node,4840958621
Ms tân yuêm,community_centre,,11.10382,106.76284,,,,node,5317470921
Ms1 lee bk,community_centre,,10.95881,106.71734,,,,node,5608414422
Mssctv noi thai binh giay,community_centre,,10.87749,106.7589,,,,node,4840944523
NHÀ VĂN HÓA LÀNG THÀNH TRUNG,community_centre,,16.53837,107.56483,,,Thành Trung,node,12178405401
Nam Dam,community_centre,,23.04286,105.01694,,,,node,5294733029
Nghi ngho,community_centre,,10.87771,106.76032,,,,node,4840958623
Ngoại Ngữ Việt Mĩ,community_centre,,20.83941,106.69427,,,,node,2482094599
Nha hang tiec cuoi Kim Son 1,community_centre,,10.40223,107.18289,,,Hương lộ 5,node,5160214021
Nha thiếu nhi tinh,community_centre,,10.92854,108.09987,,,Bà Triệu,node,4740859122
Nha thong tin Yen Ha,community_centre,,9.99312,105.74783,,,,node,5246574478
Nhà,community_centre,,13.08662,109.31541,,,Hùng Vương,node,4228450091
Nhà văn hoá thôn Yên Bệ,community_centre,,21.04733,105.70872,,,,way,498550264
Nhon Ly Community Center,community_centre,,13.88316,109.28844,,,,node,11348058702
Nhà Hội họp Khu dân cư 8,community_centre,,20.98726,105.84582,,,,way,1491155167
Nhà Hội họp Khu dân cư số 7,community_centre,,20.99257,105.84001,,,,way,1481173165
Nhà Sinh hoạt cộng đồng,community_centre,,21.00666,105.83694,,,,way,1021332445
Nhà Thiếu Nhi Quận 10,community_centre,,10.78144,106.65968,,,Bắc Hải,node,4208957990
Nhà Thiếu Nhi Quận 7,community_centre,,10.74618,106.70495,,,,node,2689392219
Nhà Thiếu Nhi Tỉnh BR-VT,community_centre,,10.34107,107.0754,,,,way,953610335
Nhà Thiếu nhi Long Khánh,community_centre,,10.92942,107.24191,,,,way,659038338
Nhà Thiếu nhi quận 9,community_centre,,10.84432,106.77959,,,,node,4290033102
Nhà Thiếu nhi thị xã Sơn Tây,community_centre,,21.14046,105.50215,,,,way,947089984
Nhà Thiếu nhi tỉnh Hải Dương,community_centre,,20.9417,106.3291,,,Đường Hoàng Hoa Thám,way,1279808608
Nhà Thiếu nhi tỉnh Khánh Hòa,community_centre,,12.24839,109.18812,,Tỉnh Khánh Hòa,"Nhà Thiếu Nhi Tỉnh Khánh Hòa Đường Lê Thành Phương,",way,1241549485
Nhà Thông Tin,community_centre,,10.0013,105.74489,,,,node,5253343581
Nhà Thông Tin Khu Vực yên Binh - Lê Bình,community_centre,,10.00403,105.74931,,,,node,5253339379
Nhà Thông tin Khu vực 5,community_centre,,10.05385,105.77585,,,,way,543816851
Nhà Thờ Tin Lành Định Quán,community_centre,,11.18815,107.34726,,,,node,5404609722
Nhà Văn Hoá Thôn Đông 1 Xã Diên Điền,community_centre,,12.2803,109.10778,,,,node,14017167755
Nhà Văn Hóa Như Phượng Hạ,community_centre,,20.93773,105.95918,,,,node,13288458666
Nhà Văn Hóa Phượng Đồng,community_centre,,20.94134,105.70813,,,,way,842611515
Nhà Văn Hóa Phố Nam Phát,community_centre,,20.83328,106.69598,,,,node,2483260119
Nhà Văn Hóa Quận 9,community_centre,,10.84004,106.77935,,,số 4,node,4269783098
Nhà Văn Hóa Thôn Lại Đà,community_centre,,21.07677,105.86657,,,,way,1478526803
Nhà Văn Hóa Thôn Như Lân,community_centre,,20.95004,105.95357,,,,node,13310844679
Nhà Văn Hóa Thôn Thế Trụ,community_centre,,20.97142,105.61874,,,,node,6184420089
Nhà Văn Hóa Thôn Đồng Hương,community_centre,,20.19157,105.60137,,,,node,11097879518
Nhà Văn Hóa Xã Tân Thành,community_centre,,11.51125,106.29423,,Tây Ninh,,node,11119572912
Nhà Văn Hóa Ấp 3,community_centre,,10.26559,106.41025,,,,way,1134824100
Nhà Văn hóa - Thể Thao huyện M'Đrăk,community_centre,,12.7486,108.74198,,,,node,14091661614
Nhà Văn hóa Khu dân cư số 1,community_centre,,20.99259,105.85162,,,,way,1461315310
"Nhà Văn hóa Khu dân cư số 2,3",community_centre,,20.99231,105.85388,,,,way,1461464089
Nhà Văn hóa Lao động Nghệ An,community_centre,,18.66882,105.68504,,,,way,974191873
Nhà Văn hóa Lao động thành phố Đà Nẵng,community_centre,,16.0273,108.2209,,,,way,695008800
Nhà Văn hóa Lao động tỉnh Hưng Yên,community_centre,,20.67025,106.05752,,,,way,977788062
Nhà Văn hóa Lao động tỉnh Phú Thọ,community_centre,,21.31182,105.39679,,,Đường Hùng Vương,way,1450809993
Nhà Văn hóa Lao động tỉnh Thanh Hóa,community_centre,,19.80154,105.78138,,,,way,1118243872
Nhà Văn hóa Lao động tỉnh Đăk Nông,community_centre,,11.98949,107.69627,,,,way,654251638
Nhà Văn hóa Phường 5,community_centre,,10.35403,106.67058,,,Trương Quyền,way,1341155342
Nhà Văn hóa Sinh hoạt Công nhân Cẩm Phả,community_centre,,21.00608,107.24647,,,,way,678843443
Nhà Văn hóa Sinh viên,community_centre,,10.87523,106.80052,Bình Dương,,Lưu Hữu Phước,way,717915808
Nhà Văn hóa Thiếu nhi Thành phố Bắc Ninh,community_centre,,21.27421,106.19574,Thành phố Bắc Ninh,Bac Ninh,,way,1279811894
Nhà Văn hóa Thiếu nhi thành phố Cần Thơ,community_centre,,10.03245,105.7823,,,Hòa Bình,way,89626468
Nhà Văn hóa Thôn Mễ Sơn,community_centre,,20.85572,105.85297,,,,way,1462823686
Nhà Văn hóa Thôn Đình Tổ,community_centre,,20.85397,105.85693,,,,way,1462823688
Nhà Văn hóa Thường Tín,community_centre,,20.87003,105.86292,,,,way,1190573692
Nhà Văn hóa Thượng Kỳ,community_centre,,20.2475,106.16701,,,,node,8789675918
Nhà Văn hóa Tuyên Sơn 3,community_centre,,16.02977,108.22375,,,,way,695008810
Nhà Văn hóa Xóm Đường,community_centre,,21.17442,105.84128,,,,node,7087736275
Nhà Văn hóa phường Quế Võ,community_centre,,21.15113,106.15416,Thành phố Bắc Ninh,Bac Ninh,Phố Nguyễn Lượng,way,1037115098
Nhà Văn hóa quận Bắc Từ Liêm,community_centre,,21.04792,105.75086,Hà Nội,,Phố Võ Quý Huân,way,957527737
Nhà Văn hóa thôn Trung Thôn,community_centre,,21.09549,105.86723,,,,way,1462796650
Nhà Văn hóa thôn Ái Mộ,community_centre,,21.08621,105.90608,,,,way,660703578
Nhà Văn hóa xã Nhân Nghĩa,community_centre,,10.83975,107.23768,,,,way,727099340
Nhà Văn hóa ấp Đồng Kèn 2,community_centre,,11.4581,106.30053,,Tây Ninh,,node,11119580684
Nhà cộng đồng TDP Ea Tút,community_centre,,12.95286,108.23598,,Đăk Lăk,Đường Trần Hưng Đạo,node,13142432295
Nhà gươl,community_centre,,15.88557,107.49077,,,,way,622734443
Nhà hội họp Khu dân cư 13 & 14,community_centre,,20.99231,105.83591,,,Ngõ 14 Phố Nguyễn Lân,way,1413039667
Nhà hội họp tổ dân phố 28,community_centre,,20.97707,105.85055,,,Ngách 143/74 Phố Nguyễn Chính,way,1484793128
Nhà khách Đình La Tinh,community_centre,,20.96695,105.72971,,,Ngõ 63 đường La tinh 1,way,1462058357
Nhà khách Đình Phú Thứ,community_centre,,21.00244,105.75083,,Thành phố Hà Nội,Ngách 27/9 Đường Tây Mỗ,way,1412518402
Nhà rông Kon K'Tu,community_centre,,14.32925,108.0646,,,,way,464761108
Nhà sinh hoạt Công nhân Than Cọc 6,community_centre,,21.01412,107.33547,,,,way,680646166
Nhà sinh hoạt Tổ dân phố số 10,community_centre,,21.04856,105.80768,Hà Nội,Hà Nội,Đường Thụy Khuê,way,1164592874
Nhà sinh hoạt cộng đồng phường Nguyễn Du,community_centre,,21.01471,105.85029,Hà Nội,Hà Nội,Phố Triệu Việt Vương,node,11625397942
Nhà sinh hoạt cộng đồng phường Nguyễn Du,community_centre,,21.01485,105.85055,Hà Nội,Hà Nội,Phố Triệu Việt Vương,way,1238050543
Nhà sinh hoạt cộng đồng tổ 15,community_centre,,21.02243,105.79328,,,,way,1461843411
Nhà sinh hoạt cộng đồng Địa bàn dân cư số 1,community_centre,,21.00451,105.84163,,,,way,1228585404
Nhà sinh hoạt cộng đồng địa bàn dân cư số 2,community_centre,,21.03934,105.81327,,,Ngách 127/6 Phố Đốc Ngữ,way,1463954728
Nhà thiếu nhi Huyện Giồng Riềng,community_centre,,9.90952,105.31194,,,,way,686120815
Nhà thiếu nhi Kim Đồng,community_centre,,22.66475,106.25797,,,,way,1079049760
Nhà thiếu nhi Quận 11,community_centre,,10.76177,106.64976,,Hồ Chí Minh,Dương Đình Nghệ,way,853382375
Nhà thiếu nhi Quận 4,community_centre,,10.75882,106.69798,,,,way,682412576
Nhà thiếu nhi Quận 6,community_centre,,10.7434,106.6351,Ho Chi Minh City,,Nguyễn Văn Luông,way,511205596
Nhà thiếu nhi Thành phố Hồ Chí Minh,community_centre,,10.78396,106.68891,,,,way,663397402
Nhà thiếu nhi Thái Nguyên,community_centre,,21.59539,105.84452,,,,way,1084250521
Nhà thiếu nhi huyện An Dương,community_centre,,20.86461,106.61243,,,,way,1090888677
Nhà thiếu nhi huyện Cần Giờ,community_centre,,10.40835,106.95671,,,,way,754576777
Nhà thể thao Khu phố 22,community_centre,,10.38959,107.11187,,,,way,1424707383
Nhà thờ Hòa Nghĩa,community_centre,,12.05241,109.15734,,,Nguyễn Trãi,node,6415422885
Nhà thờ Hòa Yên,community_centre,,12.05655,109.15399,,,Nguyễn Du,node,6415407985
Nhà truyền thống xã Nghĩa Trụ,community_centre,,20.95482,105.98666,,,,node,13363066022
Nhà tổ 22 phường Dịch Vọng,community_centre,,21.03497,105.79194,,,,way,1251028882
Nhà tổ dân phố 1 Dịch Vọng Hậu,community_centre,,21.04399,105.78521,Hà Nội,,Đường Đặng Thùy Trâm,way,1007899330
Nhà tổ dân phố 1 Dịch Vọng Hậu,community_centre,,21.04291,105.78677,,,,way,1243455283
Nhà tổ dân phố Hoàng 16,community_centre,,21.04937,105.78429,Hà Nội,Hà Nội,,way,1211613046
Nhà tổ dân phố Hoàng 18,community_centre,,21.04735,105.78333,Hà Nội,Hà Nội,Ngõ 238 Hoàng Quốc Việt,way,1210271468
Nhà vă hóa và trụ sở ấp Hưng Lợi Tây,community_centre,,10.31882,105.6731,,,,node,13329815901
Nhà văn chỉ Yên Duyên,community_centre,,20.96874,105.87132,,,,way,1510220376
Nhà văn hoá phụ nữ - cơ sở Phan Xích Long,community_centre,,10.79704,106.69225,,,Phan Xích Long,node,13847912901
Nhà văn hòa Tô dân phố Xuân Ổ A,community_centre,,21.15524,106.03844,Bắc Ninh,Bac Ninh,,way,1380858819
Nhà văn hòa Tổ dân phố Thị Cầu 6,community_centre,,21.19576,106.08564,Bắc Ninh,Bac Ninh,,way,1383520280
Nhà văn hòa Tổ dân phố Đồng Chuế,community_centre,,21.18508,106.14675,Thành phố Bắc Ninh,Bac Ninh,,way,1346325234
